,2015_div,2015_fc_rank,2015_race_days,2015_team,2015_uci_rank,2015_wins,2015_year_km,2016_div,2016_fc_rank,2016_race_days,2016_team,2016_uci_rank,2016_wins,2016_year_km,2017_div,2017_fc_rank,2017_race_days,2017_team,2017_uci_rank,2017_wins,2017_year_km,2018_div,2018_fc_rank,2018_race_days,2018_team,2018_uci_rank,2018_wins,2018_year_km,followers,height,mount_jerseys,nation,point_jerseys,sprint_jerseys,total_wins,youth_jerseys,name
282,PRT,240.0,80.0,AG2R La Mondiale,-,0.0,13494.2,PRT,329.0,54.0,AG2R La Mondiale,146,0.0,8953.8,PRT,834.0,52.0,AG2R La Mondiale,314,1.0,8409.3,PRT,953.0,52.0,AG2R La Mondiale,300,0.0,8466.2,1,1.81,2,Italy,0,0,3,0,M.Montaguti
283,CONT,411,27.0,Team Kuota - Lotto,-,2.0,4387.3,PRT,485,29.0,Team Giant - Alpecin,-,5.0,4987.7,PRT,315,48.0,Team Sunweb,286,1.0,7485.9,PRT,228,63.0,Team Sunweb,318,2.0,9633.1,3,,0,Germany,1,0,4,0,M.Walscheid
284,PRT,45,57.0,Team Katusha,16,1.0,8693.0,PRT,213,45.0,Team Katusha,76,0.0,6909.2,PRT,96,52.0,Team Katusha - Alpecin,54,2.0,7798.5,PRT,265,55.0,Team Katusha - Alpecin,110,0.0,8262.2,4,1.76,0,Slovenia,0,2,11,3,S.Spilak
285,CONT,607.0,40.0,Unieuro - Willier,-,0.0,6280.6,PROF,1142.0,41.0,Bardiani - CSF,-,0.0,7061.9,PROF,560.0,77.0,Bardiani - CSF,-,0.0,12598.9,PROF,875.0,45.0,Bardiani - CSF,-,0.0,7067.7,2,,0,Italy,0,0,0,0,L.Rota
286,PRT,82,59.0,Orica - GreenEDGE,36,0.0,9500.4,PRT,54,49.0,Orica - BikeExchange,33,2.0,8021.3,PRT,40,78.0,Orica - Scott,33,3.0,12048.4,PRT,2,75.0,Mitchelton - Scott,1,8.0,11711.3,6,1.72,1,Great Britain,0,0,3,5,S.Yates
287,PROF,1451.0,55.0,RusVelo,-,0.0,8784.9,PROF,782.0,57.0,Gazprom - RusVelo,-,0.0,9217.7,PROF,1119.0,71.0,Gazprom - RusVelo,-,0.0,11984.0,PROF,2108.0,53.0,Gazprom - RusVelo,-,0.0,8466.0,0,,1,Russia,2,0,3,0,I.Boev
288,,2208.0,10.0,Poland National Team,-,0.0,1143.6,,1340.0,39.0,Tc Chrobry Scott Głogów,-,0.0,5570.9,,993.0,31.0,Tc Chrobry Scott Głogów,-,1.0,4314.8,CONT,1400.0,45.0,Elkov - Author,-,0.0,5935.1,0,,0,Poland,0,0,0,0,P.Konwa
289,,290,36.0,BMC Development Team,-,4.0,5835.7,PRT,257,57.0,BMC Racing Team,175,0.0,9638.8,PRT,280,63.0,BMC Racing Team,227,0.0,10591.5,PRT,534,39.0,BMC Racing Team,-,0.0,6617.3,5,,1,Belgium,0,0,2,1,L.Vliegen
290,PRT,582.0,47.0,IAM Cycling,-,0.0,7486.9,PRT,433.0,36.0,IAM Cycling,123,0.0,5789.7,PRT,1347.0,45.0,Bora - Hansgrohe,364,0.0,7456.0,PRT,586.0,33.0,Bora - Hansgrohe,-,0.0,5021.6,1,,0,Latvia,0,0,16,0,A.Saramotins
291,PRT,360.0,81.0,Team Cannondale - Garmin,157,0.0,12855.3,PRT,392.0,71.0,Cannondale - Drapac Pro Cycling,127,0.0,11248.6,PRT,1068.0,29.0,Trek - Segafredo,279,0.0,4210.1,,,,,,,,0,1.68,2,Portugal,0,0,0,0,A.Cardoso
292,PRT,1229,86.0,Trek Factory Racing,-,0.0,13703.0,PRT,920,61.0,Trek - Segafredo,220,0.0,9958.3,PRT,349,71.0,Trek - Segafredo,310,0.0,10954.7,PRT,591,74.0,Trek - Segafredo,354,0.0,12320.9,0,1.85,0,Netherlands,1,0,1,0,B.Van Poppel
